Record_ID,Customer_ID_record,Canonical_Customer_ID,Customer_Name,Email,Phone,City,Address,Product_ID,Product_Name,Category,Seller_Name,Quantity,Price_per_item,Discount(%),Shipping_Charges,Final_Price,Payment_Method,Delivery_Status,Order_Date,Customer_Rating,Coupon_Code,Device_Used
R0000,CR3047,C1059,Amit Sharma,amitsharma@mail.in,9.16571E+11,Lucknow,"Flat 131, Block E, Lucknow",P1769,Shirt,Groceries,MegaMart,2,2891.01,9.59,57,5284.52,COD,Delivered,27-01-2025,3,FREESHIP,Laptop
R0001,CR9226,C1077,Kumar Mehta,kumarmehta@ecom.in,9.18453E+11,Kolkata,"Flat 274, Block D, Kolkata",P1600,Shirt,Groceries,MegaMart,2,4708.28,7.44,83,8798.97,Net Banking,Cancelled,12-07-2025,5,,Tablet
R0002,CR1064,C1070,K. Mehta,kmehta@mail.in,9.16534E+11,Mumbai,"Flat 202, Block D, Mumbai",P3317,Lamp,Beauty,ShopKart,2,5014.89,14.72,81,8634.4,COD,Pending,13-09-2025,1,NEWUSER10,Tablet
R0003,CR4840,C1004,Amith S.,amiths@mail.in,9.17346E+11,Kolkata,"Flat 41, Block D, Kolkata",P3182,Face Cream,Beauty,MegaMart,1,1140.66,12.77,36,1031,UPI,Pending,01-03-2025,3,NEWUSER10,Tablet
R0004,CR6450,C1061,S. Iyer,siyer@ecom.in,9.19308E+11,Kolkata,"Flat 237, Block C, Kolkata",P1540,Shirt,Home Decor,DealHub,3,4488.32,9.03,65,12314.07,Debit Card,Delivered,21-09-2025,,,Laptop
R0005,CR8554,C1055,Ravi Kumar,ravikumar@gmail.com,9.19243E+11,Bangalore,"Flat 234, Block D, Bangalore",P1663,Wireless Headphones,Groceries,DealHub,4,8459.91,15.1,61,28790.85,Credit Card,Pending,12-04-2025,,FREESHIP,Laptop
R0006,CR7546,C1066,K. Mehta,kmehta@ecom.in,9.18693E+11,Pune,"Flat 416, Block D, Pune",P1202,Wireless Headphones,Electronics,EcomStore,2,5643.19,20.81,138,9075.68,Credit Card,Delivered,16-06-2025,5,FREESHIP,Tablet
R0007,CR3255,C1002,Amit Sharma,amitsharma@mail.in,9.16551E+11,Bangalore,"Flat 263, Block D, Bangalore",P3191,Yoga Mat,Electronics,DealHub,4,4060.27,29.91,139,11522.37,COD,Delivered,09-07-2025,1,FREESHIP,Tablet
R0008,CR9050,C1021,Ravi Kumar,ravikumar@mail.in,9.16878E+11,Mumbai,"Flat 384, Block B, Mumbai",P3869,Wireless Headphones,Home Decor,ShopKart,4,10740.25,10.93,20,38285.36,Net Banking,Cancelled,17-03-2025,1,,Tablet
R0009,CR4170,C1059,S. Iyer,siyer@shop.in,9.16788E+11,Hyderabad,"Flat 35, Block A, Hyderabad",P1016,Shirt,Beauty,MegaMart,1,4337.49,27.09,123,3285.46,Credit Card,Delivered,17-08-2025,,NEWUSER10,Tablet
R0010,CR9716,C1059,Ravi Kumar,ravikumar@mail.in,9.18915E+11,Lucknow,"Flat 174, Block B, Lucknow",P3901,Yoga Mat,Books,MegaMart,2,4973.75,26.22,136,7475.27,UPI,Pending,10-07-2025,2,FREESHIP,Laptop
R0011,CR6222,C1067,Amit Sharma,amitsharma@gmail.com,9.19422E+11,Noida,"Flat 186, Block E, Noida",P3197,Yoga Mat,Clothing,MegaMart,1,752.75,25.57,53,613.27,UPI,Delivered,08-01-2025,5,,Mobile
R0012,CR1580,C1021,Sneha P.,snehap@gmail.com,9.18824E+11,Kolkata,"Flat 346, Block E, Kolkata",P1116,Lamp,Electronics,DealHub,1,1061.27,27.88,33,798.39,Credit Card,Delivered,01-05-2025,5,FREESHIP,Tablet
R0013,CR5611,C1015,Ravindra K.,ravindrak@mail.in,9.17905E+11,Chennai,"Flat 39, Block D, Chennai",P2312,Lamp,Groceries,ShopKart,3,911.27,28.73,99,2047.39,Debit Card,Cancelled,26-03-2025,1,,Mobile
R0014,CR1417,C1006,Kumar Mehta,kumarmehta@ecom.in,9.18157E+11,Delhi,"Flat 417, Block B, Delhi",P2066,Shirt,Home Decor,ShopKart,4,1691.51,5.46,34,6430.61,Credit Card,Pending,26-08-2025,2,FESTIVE20,Laptop
R0015,CR6917,C1016,Sneha Patel,snehapatel@shop.in,9.16406E+11,Lucknow,"Flat 192, Block C, Lucknow",P2122,Shirt,Clothing,ShopKart,3,8792.05,26.68,36,19374.99,Net Banking,Delivered,13-07-2025,1,FREESHIP,Mobile
R0016,CR6334,C1074,K. Mehta,kmehta@shop.in,9.19513E+11,Chennai,"Flat 69, Block C, Chennai",P1395,Face Cream,Beauty,EcomStore,1,11335.14,24.79,56,8581.16,COD,Delivered,14-07-2025,2,NEWUSER10,Tablet
R0017,CR9905,C1018,Kumar M.,kumarm@ecom.in,9.17936E+11,Mumbai,"Flat 5, Block E, Mumbai",P2445,Wireless Headphones,Home Decor,ShopKart,2,12229.43,28.68,44,17488.06,Net Banking,Pending,12-03-2025,,FREESHIP,Tablet
R0018,CR7190,C1048,Amit Sharma,amitsharma@shop.in,9.16311E+11,Noida,"Flat 312, Block A, Noida",P1933,Cookbook,Groceries,MegaMart,4,14672.93,18.9,46,47644.98,COD,Pending,11-05-2025,4,NEWUSER10,Tablet
R0019,CR8312,C1072,S. Iyer,siyer@ecom.in,9.17622E+11,Lucknow,"Flat 156, Block E, Lucknow",P2031,Yoga Mat,Beauty,DealHub,2,5946.37,10.73,27,10643.65,Net Banking,Delivered,04-09-2025,3,FESTIVE20,Tablet
R0020,CR8266,C1000,Ravi Kumar,ravikumar@gmail.com,9.19893E+11,Chennai,"Flat 119, Block A, Chennai",P1373,Face Cream,Clothing,DealHub,3,2426.17,19.85,62,5895.73,Credit Card,Pending,13-01-2025,1,FESTIVE20,Mobile
